date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:36	472886/472886	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2022:09:14%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/shop-list.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/shop-list.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:36	248220/248220	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:49:36%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/product-details.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/product-details.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:36	249364/249364	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:53:20%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/product-video.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/product-video.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:37	307992/307992	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:52:04%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/product-left-sidebar.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/product-left-sidebar.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:37	247035/247035	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:50:04%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/product-gallery.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/product-gallery.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:37	87791/87791	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:38:26%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/my-account-2.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/my-account-2.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:37	86714/86714	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2023:33:52%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/404.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/404.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:37	90858/90858	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:37:18%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/login.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/login.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:38	111552/111552	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:36:16%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/faq.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/faq.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
11:45:38	98248/98248	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:31:30%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/compare.html	C:/My%20Web%20Sites/ghjk/risingtheme.com/html/demo-suruchi-v1/suruchi/compare.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
